Code,Country,Our World In Data Name
AGO,Angola,Angola
BDI,Burundi,Burundi
BEN,Benin,Benin
BFA,Burkina Faso,Burkina Faso
BWA,Botswana,Botswana
CAF,Central African Republic,Central African Republic
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
SYC,Seychelles,Seychelles
TCD,Chad,Chad
TGO,Togo,Togo
TZA,United Republic of Tanzania,Tanzania
UGA,Uganda,Uganda
ZAF,South Africa,South Africa
SEN,Senegal,Senegal
SHN,Saint Helena,Saint Helena
SLE,Sierra Leone,Sierra Leone
SSD,South Sudan,South Sudan
STP,Sao Tome and Principe,Sao Tome and Principe
SWZ,Eswatini,Eswatini
MYT,Mayotte,Mayotte
NAM,Namibia,Namibia
NER,Niger,Niger
NGA,Nigeria,Nigeria
REU,Reunion,Reunion
RWA,Rwanda,Rwanda
MDG,Madagascar,Madagascar
MLI,Mali,Mali
MOZ,Mozambique,Mozambique
MRT,Mauritania,Mauritania
MUS,Mauritius,Mauritius
MWI,Malawi,Malawi
GMB,Gambia,Gambia
GNB,Guinea-Bissau,Guinea-Bissau
GNQ,Equatorial Guinea,Equatorial Guinea
KEN,Kenya,Kenya
LBR,Liberia,Liberia
LSO,Lesotho,Lesotho
DZA,Algeria,Algeria
ERI,Eritrea,Eritrea
ETH,Ethiopia,Ethiopia
GAB,Gabon,Gabon
GHA,Ghana,Ghana
GIN,Guinea,Guinea
CIV,Côte d'Ivoire,Cote d'Ivoire
CMR,Cameroon,Cameroon
COD,Democratic Republic of the Congo,Democratic Republic of Congo
COG,Congo,Congo
COM,Comoros,Comoros
CPV,Cabo Verde,Cape Verde
ABW,Aruba,Aruba
AIA,Anguilla,Anguilla
ARG,Argentina,Argentina
ATG,Antigua and Barbuda,Antigua and Barbuda
USA,United States of America,United States
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
VEN,Venezuela (Bolivarian Republic of),Venezuela
VGB,British Virgin Islands,British Virgin Islands
VIR,Virgin Islands (USA),United States Virgin Islands
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon
SUR,Suriname,Suriname
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
TCA,Turks and Caicos Islands,Turks and Caicos Islands
TTO,Trinidad and Tobago,Trinidad and Tobago
URY,Uruguay,Uruguay
NIC,Nicaragua,Nicaragua
PAN,Panama,Panama
PER,Peru,Peru
PRI,Puerto Rico,Puerto Rico
PRY,Paraguay,Paraguay
SLV,El Salvador,El Salvador
HTI,Haiti,Haiti
JAM,Jamaica,Jamaica
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis
LCA,Saint Lucia,Saint Lucia
MEX,Mexico,Mexico
MTQ,Martinique,Martinique
GRD,Grenada,Grenada
GTM,Guatemala,Guatemala
GUF,French Guiana,French Guiana
GUY,Guyana,Guyana
HND,Honduras,Honduras
CYM,Cayman Islands,Cayman Islands
DMA,Dominica,Dominica
DOM,Dominican Republic,Dominican Republic
ECU,Ecuador,Ecuador
FLK,Falkland Islands (Malvinas),Falkland Islands
GLP,Guadeloupe,Guadeloupe
CAN,Canada,Canada
CHL,Chile,Chile
COL,Colombia,Colombia
CRI,Costa Rica,Costa Rica
CUB,Cuba,Cuba
CUW,Curaçao,Curacao
BHS,Bahamas,Bahamas
BLZ,Belize,Belize
BMU,Bermuda,Bermuda
BOL,Bolivia (Plurinational State of),Bolivia
BRA,Brazil,Brazil
BRB,Barbados,Barbados
AFG,Afghanistan,Afghanistan
ARE,United Arab Emirates,United Arab Emirates
BHR,Bahrain,Bahrain
DJI,Djibouti,Djibouti
EGY,Egypt,Egypt
IRN,Iran (Islamic Republic of),Iran
SOM,Somalia,Somalia
SYR,Syrian Arab Republic,Syria
TUN,Tunisia,Tunisia
YEM,Yemen,Yemen
OMN,Oman,Oman
PAK,Pakistan,Pakistan
PSE,"occupied Palestinian territory, including east Jerusalem",
QAT,Qatar,Qatar
SAU,Saudi Arabia,Saudi Arabia
SDN,Sudan,Sudan
IRQ,Iraq,Iraq
JOR,Jordan,Jordan
KWT,Kuwait,Kuwait
LBN,Lebanon,Lebanon
LBY,Libya,Libya
MAR,Morocco,Morocco
ALB,Albania,Albania
AND,Andorra,Andorra
ARM,Armenia,Armenia
AUT,Austria,Austria
AZE,Azerbaijan,Azerbaijan
BEL,Belgium,Belgium
TKM,Turkmenistan,Turkmenistan
TUR,Turkey,Turkey
UKR,Ukraine,Ukraine
UZB,Uzbekistan,Uzbekistan
SRB,Serbia,Serbia
SVK,Slovakia,Slovakia
SVN,Slovenia,Slovenia
SWE,Sweden,Sweden
TJK,Tajikistan,Tajikistan
POL,Poland,Poland
PRT,Portugal,Portugal
ROU,Romania,Romania
RUS,Russian Federation,Russia
SMR,San Marino,San Marino
MDA,Republic of Moldova,Moldova
MKD,North Macedonia,North Macedonia
MLT,Malta,Malta
MNE,Montenegro,Montenegro
NLD,Netherlands,Netherlands
NOR,Norway,Norway
KGZ,Kyrgyzstan,Kyrgyzstan
LIE,Liechtenstein,Liechtenstein
LTU,Lithuania,Lithuania
LUX,Luxembourg,Luxembourg
LVA,Latvia,Latvia
MCO,Monaco,Monaco
IMN,Isle of Man,Isle of Man
IRL,Ireland,Ireland
ISL,Iceland,Iceland
ISR,Israel,Israel
ITA,Italy,Italy
KAZ,Kazakhstan,Kazakhstan
GEO,Georgia,Georgia
GIB,Gibraltar,Gibraltar
GRC,Greece,Greece
GRL,Greenland,Greenland
HRV,Croatia,Croatia
HUN,Hungary,Hungary
ESP,Spain,Spain
EST,Estonia,Estonia
FIN,Finland,Finland
FRA,France,France
FRO,Faroe Islands,Faeroe Islands
GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom
CZE,Czechia,Czechia
DEU,Germany,Germany
DNK,Denmark,Denmark
BGR,Bulgaria,Bulgaria
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina
BLR,Belarus,Belarus
CHE,Switzerland,Switzerland
CYP,Cyprus,Cyprus
BGD,Bangladesh,Bangladesh
BTN,Bhutan,Bhutan
IDN,Indonesia,Indonesia
IND,India,India
LKA,Sri Lanka,Sri Lanka
MDV,Maldives,Maldives
MMR,Myanmar,Myanmar
NPL,Nepal,Nepal
PRK,Democratic People's Republic of Korea,North Korea
THA,Thailand,Thailand
TLS,Timor-Leste,Timor
ASM,American Samoa,American Samoa
AUS,Australia,Australia
